lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(51:9)|TG(50:2)]_FA22:6,2.6917361878620736,10.750710500648646,35.72415841506154,2.273274377183855e-9,6.606961985324349e-7,TAG,2210276.6618652344,3131029.305053711,494871.1936645508,393123.1095581055,217929.5346069336,9681670.674682615
DG(37:3)_C16:0,2.627458378034915,8.398008753446478,34.147070104423626,5.110012183789273e-9,1.3613924126311922e-6,DAG,1729280.427886963,1930320.427307129,695420.4795074463,76950.06562805176,33954.64236831665,40108.38299560547
[TG(56:7)|TG(55:0)]_FA20:4,2.529664782366366,11.117977026528477,31.80035355459191,1.7086163864852857e-8,4.201881990456506e-6,TAG,2199758.2119140625,22698395.29736328,1895513.5788574216,1228846.5830078125,2593166.703125,337624.623046875
[TG(49:7)|TG(48:0)]_FA20:4,2.512449248040003,9.206980710440272,31.393116987400393,2.1072661810960078e-8,4.21058123810246e-6,TAG,753464.0684814453,1072849.1642456057,191533.4318847656,129013.24877929688,111893.04779052734,3293378.932495117
[TG(54:6)]_FA20:4,2.5138964280111304,11.09455609285233,31.427942752601727,2.0698060703653636e-8,4.21058123810246e-6,TAG,2110188.874023437,22474602.60839844,1852620.095214844,1142249.6049804688,2730039.2734375,240371.81713867188
[TG(55:11)|TG(54:4)]_FA18:1,2.522346121359139,11.294187236356292,31.627301055602146,1.8678511655381096e-8,4.21058123810246e-6,TAG,2372790.91015625,25921226.533691406,2282688.8930664062,1198005.5224609375,3073286.955078125,263154.5986328125
[TG(53:10)|TG(52:3)]_FA18:1,2.4695817926863133,11.260660623344997,30.39052057436051,3.5325019553855174e-8,6.274115972981944e-6,TAG,2283963.849609375,25181332.95654297,2161427.8603515625,1059440.830078125,3417249.4409179688,236402.71728515625
PI(29:2)|PI(P-30:1),2.4741642097557164,10.238582865618325,30.496857227233704,3.344078031461857e-8,6.274115972981944e-6,PI,1565469.0125732422,2247524.0192871094,274256.7761230469,368191.5228881836,279613.0966796875,6661615.031005859
DG(42:10)|DG(41:3)_C16:0,2.4393958951455788,9.364743563255876,29.69108785429853,5.0667223800784996e-8,8.525427078479454e-6,DAG,614653.1374359131,1424806.2537231443,204367.95440673828,143561.33016586304,155495.5696144104,3677631.8136291504
[TG(54:5)]_FA18:2,2.4027581294848077,11.441179860303833,28.85216928291916,7.81183596372907e-8,1.1249854138956927e-5,TAG,2416215.9375,28288723.522460938,2378193.2495117188,1974423.111328125,3292083.461425781,356736.9655761719
[TG(54:6)]_FA18:3,2.4013586496286052,11.448736521263399,28.820293595946143,7.941463481035135e-8,1.1249854138956927e-5,TAG,2679919.280273437,28111464.74267578,2636326.100585937,1540863.3994140625,3565608.8725585938,382035.806640625
FA(17:2),-2.6899647828969586,7.992216599350561,28.90432883595895,7.604277907038581e-8,1.1249854138956927e-5,FA,149082.27349853516,157553.31182861328,283584.1626586914,2088284.2421875,169178.8504638672,116827.54858398438
FA(18:0),-2.6833942646684696,8.444128988212148,28.78358431592642,8.093420243853905e-8,1.1249854138956927e-5,FA,165196.31158447266,264344.87603759766,450243.46838378906,2838362.7634277344,210472.6561279297,142626.45068359375
[TG(54:7)|TG(53:0)]_FA20:4,2.394180239091391,8.725974949918445,28.656772314516047,8.641126187651103e-8,1.1289495941466527e-5,TAG,394442.72790527344,4253075.397155762,383954.6283569336,261622.74145507807,524781.4740600586,66943.44445800781
